Time [s],Read Data
0.712608500,1
0.712609063,0
0.712610688,1
0.712611187,0
0.712614625,1
0.712615125,0
0.712616687,1
0.712617250,0
0.712618750,1
0.712619312,0
0.712620875,1
0.712621375,0
0.712624812,1
0.712625375,0
0.712626937,1
0.712627500,0
0.712630937,1
0.712631438,0
0.712633000,1
0.712633500,0
0.712635062,1
0.712635563,0
0.712637125,1
0.712637625,0
0.712641125,1
0.712641625,0
0.712643250,1
0.712643750,0
0.712647188,1
0.712647687,0
0.712649250,1
0.712649813,0
0.712651313,1
0.712651875,0
0.712653437,1
0.712653937,0
0.712657375,1
0.712657937,0
0.712659500,1
0.712660063,0
0.712663500,1
0.712664000,0
0.712665563,1
0.712666125,0
0.712667625,1
0.712668125,0
0.712669688,1
0.712670250,0
0.712673688,1
0.712674250,0
0.712675813,1
0.712676375,0
0.712679813,1
0.712680312,0
0.712681875,1
0.712682375,0
0.712683875,1
0.712684437,0
0.712686000,1
0.712686562,0
0.712690000,1
0.712690500,0
0.712692125,1
0.712692625,0
0.712696062,1
0.712696563,0
0.712698188,1
0.712698687,0
0.712700187,1
0.712700750,0
0.712702313,1
0.712702813,0
0.712706250,1
0.712706813,0
0.712708375,1
0.712708937,0
0.712712313,1
0.712712875,0
0.712714437,1
0.712715000,0
0.712716500,1
0.712717062,0
0.712718562,1
0.712719125,0
0.712722562,1
0.712723125,0
0.712724687,1
0.712725250,0
0.712728625,1
0.712729188,0
0.712730750,1
0.712731250,0
0.712732812,1
0.712733313,0
0.712734875,1
0.712735438,0
0.712738875,1
0.712739375,0
0.712741000,1
0.712741500,0
0.712744938,1
0.712745437,0
0.712747000,1
0.712747563,0
0.712749063,1
0.712749625,0
0.712751187,1
0.712751687,0
0.712755187,1
0.712755687,0
0.712757312,1
0.712757813,0
0.712761250,1
0.712761750,0
0.712763313,1
0.712763875,0
0.712765375,1
0.712765937,0
0.712767438,1
0.712768000,0
0.712771438,1
0.712772000,0
0.712773563,1
0.712774125,0
0.712777563,1
0.712778063,0
0.712779625,1
0.712780188,0
0.712781688,1
0.712782187,0
0.712783750,1
0.712784312,0
0.712787750,1
0.712788250,0
0.712789875,1
0.712790375,0
0.712793812,1
0.712794375,0
0.712795938,1
0.712796437,0
0.712798000,1
0.712798500,0
0.712800063,1
0.712800563,0
0.712804000,1
0.712804563,0
0.712806188,1
0.712806687,0
0.712810125,1
0.712810687,0
0.712812187,1
0.712812750,0
0.712814250,1
0.712814750,0
0.712816312,1
0.712816875,0
0.712820312,1
0.712820875,0
0.712822437,1
0.712823000,0
0.712826437,1
0.712827000,0
0.712828500,1
0.712829062,0
0.712830562,1
0.712831062,0
0.712832625,1
0.712833188,0
0.712836625,1
0.712837125,0
0.712838750,1
0.712839250,0
0.712842688,1
0.712843250,0
0.712844750,1
0.712845313,0
0.712846813,1
0.712847375,0
0.712848938,1
0.712849437,0
0.712852875,1
0.712853437,0
0.712855000,1
0.712855563,0
0.712859000,1
0.712859563,0
0.712861063,1
0.712861625,0
0.712863125,1
0.712863625,0
0.712865188,1
0.712865750,0
0.712869187,1
0.712869750,0
0.712871313,1
0.712871875,0
0.712875313,1
0.712875812,0
0.712877375,1
0.712877875,0
0.712879375,1
0.712879938,0
0.712881500,1
0.712882000,0
0.712885500,1
0.712886000,0
0.712887625,1
0.712888125,0
0.712891625,1
0.712892125,0
0.712893625,1
0.712894187,0
0.712895687,1
0.712896187,0
0.712897750,1
0.712898313,0
0.712901750,1
0.712902250,0
0.712903875,1
0.712904437,0
0.712907875,1
0.712908437,0
0.712909937,1
0.712910500,0
0.712911938,1
0.712912500,0
0.712914063,1
0.712914562,0
0.712918000,1
0.712918562,0
0.712920125,1
0.712920688,0
0.712924125,1
0.712924688,0
0.712926188,1
0.712926750,0
0.712928250,1
0.712928750,0
0.712930313,1
0.712930875,0
0.712934312,1
0.712934875,0
0.712936438,1
0.712936937,0
0.712940438,1
0.712940937,0
0.712942500,1
0.712943000,0
0.712944500,1
0.712945063,0
0.712946625,1
0.712947125,0
0.712950625,1
0.712951125,0
0.712952687,1
0.712953250,0
0.712956687,1
0.712957188,0
0.712958750,1
0.712959312,0
0.712960812,1
0.712961313,0
0.712962875,1
0.712963375,0
0.712966875,1
0.712967438,0
0.712969000,1
0.712969500,0
0.712971937,1
0.712972500,0
0.712974062,1
0.712974625,0
0.712977063,1
0.712977625,0
0.712981187,1
0.712981750,0
0.712985187,1
0.712985750,0
0.712987250,1
0.712987812,0
0.712989250,1
0.712989813,0
0.712991313,1
0.712991812,0
0.712993312,1
0.712993875,0
0.712995438,1
0.712995938,0
0.712999437,1
0.712999938,0
0.713001500,1
0.713002062,0
0.713004500,1
0.713005062,0
0.713007562,1
0.713008125,0
0.713010625,1
0.713011188,0
0.713013625,1
0.713014188,0
0.713015687,1
0.713016250,0
0.713017750,1
0.713018313,0
0.713020750,1
0.713021313,0
0.713023813,1
0.713024375,0
0.713026875,1
0.713027437,0
0.713029875,1
0.713030437,0
0.713031938,1
0.713032500,0
0.713034000,1
0.713034562,0
0.713037000,1
0.713037563,0
0.713040125,1
0.713040625,0
0.713043125,1
0.713043688,0
0.713046125,1
0.713046687,0
0.713048187,1
0.713048750,0
0.713050250,1
0.713050813,0
0.713053250,1
0.713053812,0
0.713056313,1
0.713056875,0
0.713059438,1
0.713059937,0
0.713062375,1
0.713062938,0
0.713064438,1
0.713065000,0
0.713066500,1
0.713067062,0
0.713069500,1
0.713070063,0
0.713072562,1
0.713073125,0
0.713075625,1
0.713076188,0
0.713078625,1
0.713079187,0
0.713080687,1
0.713081250,0
0.713082750,1
0.713083313,0
0.713085750,1
0.713086312,0
0.713088813,1
0.713089375,0
0.713091875,1
0.713092375,0
0.713094875,1
0.713095375,0
0.713096938,1
0.713097437,0
0.713099000,1
0.713099500,0
0.713102000,1
0.713102500,0
0.713105063,1
0.713105563,0
0.713108063,1
0.713108625,0
0.713111063,1
0.713111625,0
0.713113125,1
0.713113688,0
0.713115188,1
0.713115750,0
0.713118250,1
0.713118750,0
0.713121250,1
0.713121812,0
0.713124312,1
0.713124813,0
0.713127313,1
0.713127875,0
0.713129375,1
0.713129937,0
0.713131437,1
0.713132000,0
0.713134438,1
0.713135000,0
0.713137500,1
0.713138000,0
0.713140500,1
0.713141062,0
0.713143500,1
0.713144062,0
0.713145625,1
0.713146125,0
0.713147688,1
0.713148187,0
0.713150687,1
0.713151187,0
0.713153687,1
0.713154250,0
0.713156750,1
0.713157250,0
0.713159750,1
0.713160250,0
0.713161812,1
0.713162375,0
0.713163875,1
0.713164438,0
0.713166875,1
0.713167438,0
0.713169875,1
0.713170437,0
0.713172937,1
0.713173500,0
0.713175937,1
0.713176500,0
0.713178063,1
0.713178563,0
0.713180125,1
0.713180625,0
0.713183062,1
0.713183625,0
0.713186125,1
0.713186625,0
0.713189188,1
0.713189688,0
0.713192125,1
0.713192688,0
0.713194250,1
0.713194813,0
0.713196313,1
0.713196812,0
0.713199313,1
0.713199812,0
0.713202312,1
0.713202875,0
0.713205375,1
0.713205875,0
0.713208375,1
0.713208875,0
0.713210438,1
0.713210937,0
0.713212500,1
0.713213000,0
0.713215500,1
0.713216000,0
0.713218563,1
0.713219063,0
0.713221563,1
0.713222062,0
0.713224500,1
0.713225062,0
0.713226625,1
0.713227125,0
0.713228688,1
0.713229187,0
0.713231687,1
0.713232187,0
0.713234687,1
0.713235250,0
0.713237688,1
0.713238250,0
0.713240688,1
0.713241250,0
0.713242812,1
0.713243312,0
0.713244875,1
0.713245438,0
0.713247813,1
0.713248375,0
0.713250875,1
0.713251437,0
0.713253875,1
0.713254437,0
0.713256875,1
0.713257438,0
0.713259000,1
0.713259500,0
0.713261062,1
0.713261562,0
0.713264062,1
0.713264563,0
0.713267063,1
0.713267563,0
0.713270063,1
0.713270625,0
0.713273062,1
0.713273562,0
0.713275125,1
0.713275688,0
0.713277250,1
0.713277750,0
0.713280187,1
0.713280750,0
0.713283250,1
0.713283750,0
0.713286250,1
0.713286813,0
0.713289250,1
0.713289750,0
0.713291312,1
0.713291875,0
0.713293375,1
0.713293875,0
0.713296375,1
0.713296875,0
0.713299375,1
0.713299937,0
0.713302437,1
0.713302937,0
0.713305375,1
0.713305938,0
0.713307500,1
0.713308000,0
0.713309500,1
0.713310062,0
0.713312500,1
0.713313063,0
0.713315563,1
0.713316063,0
0.713318563,1
0.713319062,0
0.713321563,1
0.713322125,0
0.713323625,1
0.713324188,0
0.713325688,1
0.713326250,0
0.713328688,1
0.713329187,0
0.713331687,1
0.713332250,0
0.713334687,1
0.713335250,0
0.713337688,1
0.713338250,0
0.713339750,1
0.713340312,0
0.713341812,1
0.713342375,0
0.713344813,1
0.713345375,0
0.713347813,1
0.713348375,0
0.713350875,1
0.713351375,0
0.713353812,1
0.713354375,0
0.713355938,1
0.713356437,0
0.713358000,1
0.713358500,0
0.713360937,1
0.713361500,0
0.713364000,1
0.713364500,0
0.713367000,1
0.713367500,0
0.713369937,1
0.713370500,0
0.713372062,1
0.713372563,0
0.713374125,1
0.713374625,0
0.713377062,1
0.713377625,0
0.713380125,1
0.713380625,0
0.713383125,1
0.713383688,0
0.713386125,1
0.713386625,0
0.713388187,1
0.713388750,0
0.713390250,1
0.713390813,0
0.713393250,1
0.713393750,0
0.713396250,1
0.713396750,0
0.713399312,1
0.713399812,0
0.713402250,1
0.713402750,0
0.713404313,1
0.713404875,0
0.713406375,1
0.713406875,0
0.713409375,1
0.713409875,0
0.713412375,1
0.713412938,0
0.713415375,1
0.713415937,0
0.713418375,1
0.713418875,0
0.713420437,1
0.713420938,0
0.713422500,1
0.713423000,0
0.713425500,1
0.713426000,0
0.713428500,1
0.713429063,0
0.713431500,1
0.713432063,0
0.713434500,1
0.713435000,0
0.713436562,1
0.713437063,0
0.713438625,1
0.713439125,0
0.713441625,1
0.713442125,0
0.713444625,1
0.713445187,0
